OBJECTID,county,lease_status,lessee,township,range,section,trs-copy,aliquot,acres,trust_name
141851,Yuma,N,,8S,23W,24,8S - 23W - 24,ALL LY NLY OF LEFT BANK OF PRESENT COLORADO RIVER EX YIR IN N2NWNW AND W2 OF ABANDONED COLORADO RIVER CHANNEL IN W2NENW AND N2NWNW,321.85,PENITENTIARY LAND FUND
141852,Yuma,N,,8S,23W,23,8S - 23W - 23,PRESENT COLORADO RIVER IN N2 AND ABANDONED COLORADO RIVER CHANNEL IN NW,158.16,PENITENTIARY LAND FUND
141853,Yuma,N,,8S,23W,22,8S - 23W - 22,LOTS 1 2 3 7,177.33,PENITENTIARY LAND FUND
142092,Yuma,N,,7S,11W,29,7S - 11W - 29,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
137224,Pinal,N,,4S,8E,10,4S - 8E - 10,SE,160,MINERS HSPTL-DISABLED MINERS
137225,Pinal,N,,5S,6E,15,5S - 6E - 15,N2,320,MINERS HSPTL-DISABLED MINERS
137226,Pinal,N,,5S,6E,14,5S - 6E - 14,ALL,640,MINERS HSPTL-DISABLED MINERS
137228,Pinal,N,,4S,8E,15,4S - 8E - 15,E2,320,MINERS HSPTL-DISABLED MINERS
137262,Pinal,N,,4S,8E,3,4S - 8E - 3,LOTS 1 2 S2NE SE,317.95,NORMAL SCHOOL
137455,Pinal,N,,4S,2E,16,4S - 2E - 16,ALL,640,PERM COMMON SCHOOLS
137589,Pinal,N,,4S,3E,16,4S - 3E - 16,ALL,640,PERM COMMON SCHOOLS
137663,Pinal,N,,5S,6E,16,5S - 6E - 16,ALL,640,PERM COMMON SCHOOLS
138065,Pinal,N,,4S,2E,17,4S - 2E - 17,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
138773,Pinal,Y,Kennecott Exploration Company,5S,4E,12,5S - 4E - 12,ALL,640,SCHOOL OF MINES
127231,Coconino,N,,16N,13E,18,16N - 13E - 18,L1 TO 11 NE N2SE SESE MB L12 SWSE,746.56,AGRICULTURE & MECHANICAL COLLEGE
127232,Coconino,N,,16N,14E,6,16N - 14E - 6,L1 TO 22 E2SW SE,1145.56,AGRICULTURE & MECHANICAL COLLEGE
127234,Coconino,N,,16N,14E,8,16N - 14E - 8,ALL,640,AGRICULTURE & MECHANICAL COLLEGE
127235,Coconino,N,,16N,14E,4,16N - 14E - 4,L1 TO 20 S2,1119.96,AGRICULTURE & MECHANICAL COLLEGE
127236,Coconino,N,,16N,14E,10,16N - 14E - 10,ALL,640,AGRICULTURE & MECHANICAL COLLEGE
127304,Coconino,N,,16N,14E,12,16N - 14E - 12,E2,320,MINERS HSPTL-DISABLED MINERS
127416,Coconino,N,,16N,15E,16,16N - 15E - 16,ALL,640,PERM COMMON SCHOOLS
127485,Coconino,N,,20N,11E,2,20N - 11E - 2,LOTS 1 THRU 12 S2 EX M&B IN SWSWSW,815.23,PERM COMMON SCHOOLS
127486,Coconino,N,,20N,12E,2,20N - 12E - 2,L1 TO 4 S2N2 S2,714.52,PERM COMMON SCHOOLS
127488,Coconino,N,,20N,12E,16,20N - 12E - 16,N2 N2N2S2 LY N OF 95-98643,335.33,PERM COMMON SCHOOLS
127489,Coconino,N,,20N,11E,16,20N - 11E - 16,ALL,640,PERM COMMON SCHOOLS
127490,Coconino,N,,20N,12E,16,20N - 12E - 16,S2 LY S OF 95-98643,297.82,PERM COMMON SCHOOLS
127493,Coconino,N,,20N,12E,36,20N - 12E - 36,ALL,640,PERM COMMON SCHOOLS
127495,Coconino,N,,20N,12E,32,20N - 12E - 32,ALL,640,PERM COMMON SCHOOLS
127496,Coconino,N,,20N,10E,36,20N - 10E - 36,ALL,640,PERM COMMON SCHOOLS
127497,Coconino,N,,20N,11E,32,20N - 11E - 32,ALL,640,PERM COMMON SCHOOLS
127498,Coconino,N,,20N,11E,36,20N - 11E - 36,ALL,640,PERM COMMON SCHOOLS
127499,Coconino,N,,19N,12E,2,19N - 12E - 2,L1 TO 4 S2N2 S2,639.04,PERM COMMON SCHOOLS
127501,Coconino,N,,19N,11E,2,19N - 11E - 2,ALL,640,PERM COMMON SCHOOLS
127502,Coconino,N,,19N,13E,36,19N - 13E - 36,ALL,640,PERM COMMON SCHOOLS
127509,Coconino,N,,19N,11E,32,19N - 11E - 32,L1 TO 4 N2 N2S2,637.24,PERM COMMON SCHOOLS
127518,Coconino,N,,19N,11E,16,19N - 11E - 16,ALL,640,PERM COMMON SCHOOLS
127519,Coconino,N,,18N,15E,32,18N - 15E - 32,ALL,640,PERM COMMON SCHOOLS
127528,Coconino,N,,17N,15E,16,17N - 15E - 16,ALL EX PT OF E2E2E2,596.36,PERM COMMON SCHOOLS
127532,Coconino,N,,16N,15E,32,16N - 15E - 32,ALL,640,PERM COMMON SCHOOLS
127536,Coconino,N,,17N,12.5E,36,17N - 12.5E - 36,L1 TO 4 N2N2,331.21,PERM COMMON SCHOOLS
127541,Coconino,N,,15N,15E,16,15N - 15E - 16,ALL,640,PERM COMMON SCHOOLS
127755,Coconino,N,,17N,13E,32,17N - 13E - 32,LOTS 1 THRU 8 N2 N2S2,797.92,PERM COMMON SCHOOLS
127756,Coconino,N,,17N,14E,32,17N - 14E - 32,LOTS 1 THRU 4 N2S2 N2,586.35,PERM COMMON SCHOOLS
127757,Coconino,N,,17N,13E,2,17N - 13E - 2,ALL,640,PERM COMMON SCHOOLS
127758,Coconino,N,,17N,14E,2,17N - 14E - 2,ALL,640,PERM COMMON SCHOOLS
127759,Coconino,N,,17N,13E,36,17N - 13E - 36,L1 TO 4 N2S2 N2,612.96,PERM COMMON SCHOOLS
127760,Coconino,N,,17N,14E,16,17N - 14E - 16,ALL,640,PERM COMMON SCHOOLS
127761,Coconino,N,,17N,13E,16,17N - 13E - 16,ALL,640,PERM COMMON SCHOOLS
127762,Coconino,N,,17N,14E,36,17N - 14E - 36,L1 TO 4 N2S2 N2,595.16,PERM COMMON SCHOOLS
127766,Coconino,N,,19N,14E,32,19N - 14E - 32,ALL,640,PERM COMMON SCHOOLS
127768,Coconino,N,,19N,14E,16,19N - 14E - 16,ALL,640,PERM COMMON SCHOOLS
127770,Coconino,N,,16N,14E,2,16N - 14E - 2,L1 TO 20 S2,1109.92,PERM COMMON SCHOOLS
127772,Coconino,N,,16N,14E,16,16N - 14E - 16,ALL,640,PERM COMMON SCHOOLS
127773,Coconino,N,,16N,13E,16,16N - 13E - 16,ALL,640,PERM COMMON SCHOOLS
127774,Coconino,N,,16N,13E,2,16N - 13E - 2,L1 TO 16 S2,1003.16,PERM COMMON SCHOOLS
127832,Coconino,N,,18N,14E,32,18N - 14E - 32,ALL,640,PERM COMMON SCHOOLS
127833,Coconino,N,,18N,14E,2,18N - 14E - 2,L1 TO 4 S2N2 S2,675.2,PERM COMMON SCHOOLS
127834,Coconino,N,,18N,13E,36,18N - 13E - 36,ALL,640,PERM COMMON SCHOOLS
127835,Coconino,N,,18N,13E,16,18N - 13E - 16,ALL,640,PERM COMMON SCHOOLS
127836,Coconino,N,,18N,13E,32,18N - 13E - 32,ALL,640,PERM COMMON SCHOOLS
127837,Coconino,N,,18N,14E,36,18N - 14E - 36,L1 TO 4 W2E2 W2,639.72,PERM COMMON SCHOOLS
127838,Coconino,N,,18N,14E,16,18N - 14E - 16,ALL,640,PERM COMMON SCHOOLS
127839,Coconino,N,,18N,13E,2,18N - 13E - 2,L1 TO 4 S2N2 S2,673.4,PERM COMMON SCHOOLS
127848,Coconino,N,,21N,10E,36,21N - 10E - 36,LOTS 1 THRU 4 N2 N2S2,627.8,PERM COMMON SCHOOLS
127950,Coconino,N,,16N,15E,34,16N - 15E - 34,W2W2W2W2 LY W OF COUNTY LINE,28.27,PERM COMMON SCHOOLS (INDMTY SELEC)
127951,Coconino,N,,16N,15E,22,16N - 15E - 22,W2W2W2W2 LY W OF COUNTY LINE,25.41,PERM COMMON SCHOOLS (INDMTY SELEC)
127962,Coconino,N,,17N,15E,4,17N - 15E - 4,ALL EX PT OF E2E2E2,594.46,PERM COMMON SCHOOLS (INDMTY SELEC)
127963,Coconino,N,,16N,15E,6,16N - 15E - 6,L1 TO 15 18 TO 22 E2SW W2SE,1017.1,PERM COMMON SCHOOLS (INDMTY SELEC)
127997,Coconino,N,,20N,11E,4,20N - 11E - 4,LOTS 1 THRU 4 7 8 AND LOTS 5 6 9 10 11 N2NE NESE LY N OF 95-98643,373.23,PERM COMMON SCHOOLS (INDMTY SELEC)
127998,Coconino,N,,20N,12E,6,20N - 12E - 6,L1 TO 7 SESW SE,544.9,PERM COMMON SCHOOLS (INDMTY SELEC)
127999,Coconino,N,,20N,12E,4,20N - 12E - 4,L1 TO 4 S2 S2N2,715.56,PERM COMMON SCHOOLS (INDMTY SELEC)
128001,Coconino,N,,20N,11E,4,20N - 11E - 4,LOT 12 N2SW NWSE S2S2 AND LOTS 5 6 9 10 11 NESE LY S OF 95-98643,428.23,PERM COMMON SCHOOLS (INDMTY SELEC)
128002,Coconino,N,,20N,11E,6,20N - 11E - 6,L1 TO 15 E2SW SE,916.42,PERM COMMON SCHOOLS (INDMTY SELEC)
128003,Coconino,N,,20N,12E,18,20N - 12E - 18,LOT 1 NE NENW LY N OF 95-98643,136.2,PERM COMMON SCHOOLS (INDMTY SELEC)
128005,Coconino,N,,20N,12E,18,20N - 12E - 18,LOTS 2 3 4 E2SW SE AND LOT 1 E2NW S2NE LY S OF 95-98643,485.06,PERM COMMON SCHOOLS (INDMTY SELEC)
128006,Coconino,N,,20N,11E,18,20N - 11E - 18,L1 TO 4 E2W2 E2,715.55,PERM COMMON SCHOOLS (INDMTY SELEC)
128007,Coconino,N,,20N,11E,14,20N - 11E - 14,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128009,Coconino,N,,20N,10E,14,20N - 10E - 14,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128011,Coconino,N,,20N,12E,22,20N - 12E - 22,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128012,Coconino,N,,20N,12E,24,20N - 12E - 24,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128013,Coconino,N,,20N,12E,20,20N - 12E - 20,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128015,Coconino,N,,20N,10E,24,20N - 10E - 24,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128016,Coconino,N,,20N,11E,22,20N - 11E - 22,E2 N2NW SWNW SW,600,PERM COMMON SCHOOLS (INDMTY SELEC)
128017,Coconino,N,,20N,11E,24,20N - 11E - 24,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128020,Coconino,N,,19N,12E,8,19N - 12E - 8,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128021,Coconino,N,,19N,12E,10,19N - 12E - 10,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128023,Coconino,N,,19N,11E,8,19N - 11E - 8,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128024,Coconino,N,,19N,11E,12,19N - 11E - 12,W2W2,160,PERM COMMON SCHOOLS (INDMTY SELEC)
128025,Coconino,N,,20N,12E,30,20N - 12E - 30,L1 TO 4 E2W2 E2,632.16,PERM COMMON SCHOOLS (INDMTY SELEC)
128026,Coconino,N,,20N,12E,26,20N - 12E - 26,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128028,Coconino,N,,20N,11E,30,20N - 11E - 30,L1 TO 4 E2W2 E2,710.45,PERM COMMON SCHOOLS (INDMTY SELEC)
128029,Coconino,N,,20N,11E,28,20N - 11E - 28,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128030,Coconino,N,,20N,11E,26,20N - 11E - 26,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128031,Coconino,N,,20N,10E,26,20N - 10E - 26,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128034,Coconino,N,,20N,12E,34,20N - 12E - 34,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128036,Coconino,N,,20N,11E,34,20N - 11E - 34,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128040,Coconino,N,,19N,12E,4,19N - 12E - 4,L1 TO 4 S2N2 S2,637.92,PERM COMMON SCHOOLS (INDMTY SELEC)
128041,Coconino,N,,19N,12E,6,19N - 12E - 6,LOTS 1 THRU 7 S2NE SENW E2SW SE,630.04,PERM COMMON SCHOOLS (INDMTY SELEC)
128042,Coconino,N,,19N,11E,6,19N - 11E - 6,L1 TO 4 E2W2 E2,703.43,PERM COMMON SCHOOLS (INDMTY SELEC)
128043,Coconino,N,,19N,11E,4,19N - 11E - 4,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128044,Coconino,N,,20N,12E,8,20N - 12E - 8,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128045,Coconino,N,,20N,12E,10,20N - 12E - 10,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128048,Coconino,N,,20N,12E,12,20N - 12E - 12,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128049,Coconino,N,,20N,10E,12,20N - 10E - 12,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128050,Coconino,N,,20N,11E,8,20N - 11E - 8,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128051,Coconino,N,,20N,11E,10,20N - 11E - 10,ALL EX M&B IN NENENE,639.92,PERM COMMON SCHOOLS (INDMTY SELEC)
128052,Coconino,N,,20N,11E,12,20N - 11E - 12,NE N2NW AND S2NW NESW SE LY N OF 95-98643,414.66,PERM COMMON SCHOOLS (INDMTY SELEC)
128053,Coconino,N,,20N,11E,12,20N - 11E - 12,SWSW AND SWSWNW N2SW SE LY S OF 95-98643,149.33,PERM COMMON SCHOOLS (INDMTY SELEC)
128060,Coconino,N,,19N,11E,20,19N - 11E - 20,SESW S2SE,120,PERM COMMON SCHOOLS (INDMTY SELEC)
128072,Coconino,N,,19N,11E,26,19N - 11E - 26,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128073,Coconino,N,,19N,11E,28,19N - 11E - 28,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128087,Coconino,N,,19N,14E,20,19N - 14E - 20,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128093,Coconino,N,,19N,11E,18,19N - 11E - 18,LOT 1,52.17,PERM COMMON SCHOOLS (INDMTY SELEC)
128094,Coconino,N,,19N,11E,18,19N - 11E - 18,E2E2,160,PERM COMMON SCHOOLS (INDMTY SELEC)
128095,Coconino,N,,19N,11E,14,19N - 11E - 14,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128100,Coconino,N,,17N,15E,6,17N - 15E - 6,L1 TO 4 E2W2 E2,640.4,PERM COMMON SCHOOLS (INDMTY SELEC)
128105,Coconino,N,,17N,15E,8,17N - 15E - 8,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128108,Coconino,N,,17N,15E,18,17N - 15E - 18,L1 TO 4 E2W2 E2,641.8,PERM COMMON SCHOOLS (INDMTY SELEC)
128113,Coconino,N,,17N,15E,20,17N - 15E - 20,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128118,Coconino,N,,17N,15E,30,17N - 15E - 30,L1 TO 4 E2W2 E2,642.56,PERM COMMON SCHOOLS (INDMTY SELEC)
128123,Coconino,N,,18N,15E,30,18N - 15E - 30,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128129,Coconino,N,,16N,15E,8,16N - 15E - 8,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128130,Coconino,N,,16N,15E,18,16N - 15E - 18,LOT 1,49.5,PERM COMMON SCHOOLS (INDMTY SELEC)
128133,Coconino,N,,15N,15E,8,15N - 15E - 8,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128134,Coconino,N,,16N,15E,20,16N - 15E - 20,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128135,Coconino,N,,16N,15E,28,16N - 15E - 28,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128136,Coconino,N,,16N,15E,30,16N - 15E - 30,L1 TO 4 E2W2 E2,679.64,PERM COMMON SCHOOLS (INDMTY SELEC)
128139,Coconino,N,,16N,15E,4,16N - 15E - 4,LOTS 1 THRU 20 S2,1112.08,PERM COMMON SCHOOLS (INDMTY SELEC)
128218,Coconino,N,,15N,15E,10,15N - 15E - 10,W2W2W2W2 LY W OF COUNTY LINE,31.65,PERM COMMON SCHOOLS (INDMTY SELEC)
128423,Coconino,N,,17N,14E,28,17N - 14E - 28,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128424,Coconino,N,,17N,14E,14,17N - 14E - 14,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128425,Coconino,N,,17N,13E,8,17N - 13E - 8,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128426,Coconino,N,,17N,14E,12,17N - 14E - 12,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128427,Coconino,N,,17N,13E,24,17N - 13E - 24,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128428,Coconino,N,,17N,13E,6,17N - 13E - 6,L1 TO 4 E2W2 E2,663.12,PERM COMMON SCHOOLS (INDMTY SELEC)
128429,Coconino,N,,17N,14E,18,17N - 14E - 18,LOT 1 THRU 4 E2W2 E2,641.52,PERM COMMON SCHOOLS (INDMTY SELEC)
128430,Coconino,N,,17N,13E,20,17N - 13E - 20,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128431,Coconino,N,,17N,13E,28,17N - 13E - 28,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128432,Coconino,N,,17N,13E,30,17N - 13E - 30,L1 TO 4 E2W2 E2,664.52,PERM COMMON SCHOOLS (INDMTY SELEC)
128433,Coconino,N,,17N,13E,22,17N - 13E - 22,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128434,Coconino,N,,17N,13E,18,17N - 13E - 18,L1 TO 4 E2W2 E2,664.76,PERM COMMON SCHOOLS (INDMTY SELEC)
128436,Coconino,N,,17N,13E,12,17N - 13E - 12,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128437,Coconino,N,,17N,14E,30,17N - 14E - 30,LOTS 1 THRU 4 E2W2 E2,642.92,PERM COMMON SCHOOLS (INDMTY SELEC)
128438,Coconino,N,,17N,14E,10,17N - 14E - 10,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128439,Coconino,N,,17N,14E,24,17N - 14E - 24,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128440,Coconino,N,,17N,13E,10,17N - 13E - 10,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128441,Coconino,N,,17N,14E,20,17N - 14E - 20,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128442,Coconino,N,,17N,13E,26,17N - 13E - 26,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128443,Coconino,N,,17N,14E,34,17N - 14E - 34,L1 TO 4 N2S2 N2,586.59,PERM COMMON SCHOOLS (INDMTY SELEC)
128444,Coconino,N,,17N,14E,8,17N - 14E - 8,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128445,Coconino,N,,17N,13E,4,17N - 13E - 4,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128446,Coconino,N,,17N,13E,14,17N - 13E - 14,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128447,Coconino,N,,17N,14E,4,17N - 14E - 4,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128448,Coconino,N,,17N,14E,22,17N - 14E - 22,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128449,Coconino,N,,17N,14E,6,17N - 14E - 6,L1 TO 4 E2W2 E2,640.36,PERM COMMON SCHOOLS (INDMTY SELEC)
128450,Coconino,N,,17N,14E,26,17N - 14E - 26,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128451,Coconino,N,,19N,14E,10,19N - 14E - 10,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128457,Coconino,N,,19N,14E,22,19N - 14E - 22,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128458,Coconino,N,,19N,14E,34,19N - 14E - 34,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128459,Coconino,N,,19N,14E,26,19N - 14E - 26,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128460,Coconino,N,,19N,14E,28,19N - 14E - 28,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128466,Coconino,N,,16N,14E,12,16N - 14E - 12,N2NW,80,PERM COMMON SCHOOLS (INDMTY SELEC)
128653,Coconino,N,,18N,13E,12,18N - 13E - 12,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128654,Coconino,N,,18N,14E,4,18N - 14E - 4,L1 TO 4 S2N2 S2,675.16,PERM COMMON SCHOOLS (INDMTY SELEC)
128655,Coconino,N,,18N,13E,14,18N - 13E - 14,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128656,Coconino,N,,18N,14E,34,18N - 14E - 34,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128657,Coconino,N,,18N,14E,8,18N - 14E - 8,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128658,Coconino,N,,18N,13E,22,18N - 13E - 22,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128659,Coconino,N,,18N,14E,30,18N - 14E - 30,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128660,Coconino,N,,18N,13E,24,18N - 13E - 24,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128661,Coconino,N,,18N,13E,34,18N - 13E - 34,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128662,Coconino,N,,18N,13E,28,18N - 13E - 28,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128663,Coconino,N,,18N,14E,28,18N - 14E - 28,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128667,Coconino,N,,18N,13E,26,18N - 13E - 26,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128668,Coconino,N,,18N,14E,26,18N - 14E - 26,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128669,Coconino,N,,18N,14E,14,18N - 14E - 14,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128670,Coconino,N,,18N,14E,6,18N - 14E - 6,L1 TO 4 S2N2 S2,674.56,PERM COMMON SCHOOLS (INDMTY SELEC)
128671,Coconino,N,,18N,14E,22,18N - 14E - 22,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128672,Coconino,N,,18N,14E,24,18N - 14E - 24,L1 TO 4 W2E2 W2,637.48,PERM COMMON SCHOOLS (INDMTY SELEC)
128673,Coconino,N,,18N,14E,12,18N - 14E - 12,L1 TO 4 W2E2 W2,635.52,PERM COMMON SCHOOLS (INDMTY SELEC)
128674,Coconino,N,,18N,14E,20,18N - 14E - 20,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128675,Coconino,N,,18N,14E,10,18N - 14E - 10,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128676,Coconino,N,,18N,14E,18,18N - 14E - 18,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128702,Coconino,N,,19N,14E,18,19N - 14E - 18,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128703,Coconino,N,,19N,14E,30,19N - 14E - 30,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
128974,Coconino,N,,16N,15E,10,16N - 15E - 10,W2W2W2W2 LY W OF COUNTY LINE,26.4,PERM COMMON SCHOOLS (INDMTY SELEC)
129011,Coconino,N,,16N,12E,12,16N - 12E - 12,ALL,640,SCHOOL OF MINES
129013,Coconino,N,,16N,12E,14,16N - 12E - 14,ALL,640,SCHOOL OF MINES
129022,Coconino,N,,15N,15E,22,15N - 15E - 22,W2W2W2W2 LY W OF COUNTY LINE,27.79,SCHOOL OF MINES
129054,Coconino,N,,20N,12E,28,20N - 12E - 28,ALL,640,UNIVERSITY
